Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
2.7500000000,2.8125000000,3732.0000000000,1201.6094308283,1096.7022477649,539.6615403469,563.0842942686,937.3965060179,241.0702061564,770.2861921063,563.3684407206,245.7474292714,54.7812390579,9.1347649555,69.9719768765,51.8776386880,28.0062724825,62.3589452345,28.0000000000,,,
2.8125000000,2.8750000000,5253.0000000000,1021.9439488804,877.3851232573,962.7274622056,1217.0430327755,1185.5816399722,645.3278012102,1083.6133203470,561.3287806625,162.8598317505,34.7322067686,29.3136284747,62.5000509802,79.0975240177,66.8509407936,80.4842461067,49.0000000000,,,
2.8750000000,2.9375000000,1468.0000000000,1316.1699652234,1037.6553575111,751.7076778823,189.9930157736,205.5448221734,327.5110202494,612.1789716392,953.5953020019,370.3648724190,345.4774582934,334.9515543154,230.2664846591,215.4752162347,211.6157282787,203.0275132724,124.0000000000,,,
2.9375000000,3.0000000000,2428.0000000000,669.7778512664,483.4133055944,433.9044760018,525.5323288913,63.0097586078,588.4245580638,736.3881727296,868.1474529134,387.0301242316,276.9626460979,198.3532400331,213.2223517601,202.1349093912,191.8327607791,182.3730203556,124.0000000000,,,
3.0000000000,3.0625000000,2859.0000000000,26.9898604218,757.8802478786,485.2509414824,909.4539673147,268.9872888347,654.2963557623,1099.9550461308,738.5187878450,239.9536039994,226.4487910141,112.1467377298,127.9745339340,124.7332203193,107.6417844520,107.5304936041,73.0000000000,,,
3.0625000000,3.1250000000,6898.0000000000,911.6894759942,731.8625337870,391.5986413757,689.6354226389,562.1897707515,343.9942044654,1240.3871618597,595.7314831365,232.2944922552,130.9335113354,35.7785568285,164.6176899413,130.1853638976,128.0220080395,107.4527270760,82.0000000000,,,
3.1250000000,3.1875000000,8719.0000000000,869.6911280360,696.1438875711,547.0599734299,485.5980955291,198.0049824728,211.1457754045,1090.7301082642,527.7973095801,282.0997747852,112.6723892122,127.3779631392,39.5789037053,33.1415807224,27.1676652555,24.3473269213,17.0000000000,,,
3.1875000000,3.2500000000,4644.0000000000,559.2325215632,969.8710875572,516.9794796622,1248.4332570990,495.9262763687,311.6265483645,1036.3769433366,764.2852870493,334.3885149428,280.6200158361,177.4289904443,223.1734808822,215.4521387328,188.2216103089,217.1423830150,122.0000000000,,,
3.2500000000,3.3125000000,5151.0000000000,668.8855208268,603.8030485453,833.7468870968,979.2243721968,535.9439214493,645.3594347460,943.7636818441,791.0158026234,195.3370538278,157.8280913920,128.4114295218,130.0908486242,97.1271997838,84.0914509288,71.8662744989,57.0000000000,,,
3.3125000000,3.3750000000,2624.0000000000,706.1844121365,902.7622891031,754.8493606858,925.1919014056,731.1058612769,554.7793842638,777.2383183264,697.7822009768,261.2368796086,177.7117148125,201.3471690162,89.5094719760,97.2298686526,94.7134129236,102.7414121121,66.0000000000,,,
3.3750000000,3.4375000000,1242.0000000000,277.9750808801,432.6200397598,1076.1117096708,299.8245866698,280.2366140190,312.7177421855,897.8380772646,650.7134546019,241.2031797285,113.1117131860,149.8763335518,54.5638820858,40.5642924743,16.4089993831,10.7851194798,4.0000000000,,,
3.4375000000,3.5000000000,1389.0000000000,797.2132964051,604.3163359202,229.7328251928,438.8241120522,632.9455859307,565.5306167285,751.6862455878,577.3820225812,193.1909831276,61.9817019958,46.4299147303,33.0665795266,32.7110931252,17.1801135133,29.6808684442,3.0000000000,,,
3.5000000000,3.5625000000,1668.0000000000,1242.6044649485,338.8088710324,450.2177598005,539.6064798291,516.1756279668,663.8287923055,637.8163257221,742.4769356687,329.3478135837,217.2770425232,117.8379343584,158.1418569717,113.0061619021,135.3608887693,133.2704561096,92.0000000000,,,
3.5625000000,3.6250000000,3643.0000000000,982.1169466750,846.9496164251,465.4182808851,505.9585406499,582.9305227729,777.1046583912,621.5287437121,734.0858260449,276.5589534611,203.4939962743,126.8888690038,48.8462398080,45.6383950082,27.5479695158,50.8492902165,23.0000000000,,,
3.6250000000,3.6875000000,5740.0000000000,753.2503245861,656.1330885611,668.2381857193,180.3402319695,551.1307746237,136.7618172013,952.1517452223,750.8421938064,312.4326279060,142.3882995150,173.3623748880,120.7203410084,130.3435251171,95.9121869855,81.9969782563,66.0000000000,,,
