Time:250Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
3.228,100,-0.48185177,,,
3.232,101,-33.45294301,,,
3.236,101,-59.10163106,,,
3.24,101,-48.10006343,,,
3.244,101,-18.11812315,,,
3.248,101,-15.89113901,,,
3.252,101,-19.27853423,,,
3.256,101,-8.901717721,,,
3.26,101,-35.53276434,,,
3.264,102,-65.56355714,,,
3.268,102,-63.38666874,,,
3.272,102,-48.37287662,,,
3.276,102,-8.749387034,,,
3.28,102,35.64665908,,,
3.284,102,42.51764746,,,
3.288,102,9.10971985,,,
3.292,102,-7.984598503,,,
3.296,103,12.98341911,,,
3.3,103,25.95335029,,,
3.304,103,36.20990673,,,
3.308,103,47.93742346,,,
3.312,103,36.38123656,,,
3.316,103,20.50820001,,,
3.32,103,32.36906532,,,
3.324,103,74.46276785,,,
3.328,104,84.35903426,,,
3.332,104,37.71591515,,,
3.336,104,23.24878164,,,
3.34,104,59.77899246,,,
3.344,104,56.40949157,,,
3.348,104,7.592366005,,,
3.352,104,-6.228894414,,,
3.356,104,8.412803554,,,
3.36,105,0.698032733,,,
3.364,105,-10.47990602,,,
3.368,105,-37.29341766,,,
3.372,105,-87.06926874,,,
3.376,105,-71.71193808,,,
3.38,105,-1.26256853,,,
3.384,105,1.633207615,,,
3.388,105,-57.12145114,,,
3.392,106,-104.3823534,,,
3.396,106,-119.6341116,,,
3.4,106,-98.05826479,,,
3.404,106,-70.82913738,,,
3.408,106,-65.46353128,,,
3.412,106,-59.15954259,,,
3.416,106,-77.27184522,,,
3.42,106,-92.2983287,,,
3.424,107,-35.89704934,,,
3.428,107,21.0454356,,,
3.432,107,24.11587625,,,
3.436,107,48.05569501,,,
3.44,107,65.66923724,,,
3.444,107,9.190710739,,,
3.448,107,-27.57697464,,,
3.452,107,-23.06355588,,,
3.456,108,-50.60536842,,,
3.46,108,-104.4356372,,,
3.464,108,-100.3728422,,,
3.468,108,-35.38346924,,,
3.472,108,-38.73587828,,,
3.476,108,-107.3696254,,,
3.48,108,-132.8487825,,,
3.484,108,-127.4871584,,,
3.488,109,-117.1489861,,,
3.492,109,-65.41388888,,,
3.496,109,-4.392470878,,,
3.5,109,-0.860114974,,,
3.504,109,-26.79509225,,,
3.508,109,-18.53596376,,,
3.512,109,-15.40356325,,,
3.516,109,-28.46430489,,,
3.52,110,-30.44999474,,,
3.524,110,-64.57422659,,,
3.528,110,-80.95718056,,,
3.532,110,-63.07639053,,,
3.536,110,-70.8269918,,,
3.54,110,-40.48165526,,,
3.544,110,5.935761682,,,
3.548,110,-50.52139215,,,
3.552,111,-130.0443974,,,
3.556,111,-101.5335808,,,
3.56,111,-25.39978813,,,
3.564,111,-0.811278468,,,
3.568,111,-34.99003471,,,
3.572,111,-113.1049583,,,
3.576,111,-149.9203775,,,
3.58,111,-71.49888864,,,
3.584,112,8.457584451,,,
3.588,112,-22.98259533,,,
3.592,112,-111.2617233,,,
3.596,112,-147.3596173,,,
3.6,112,-102.411304,,,
3.604,112,-36.24257833,,,
3.608,112,-18.46318457,,,
3.612,112,-79.90199398,,,
3.616,113,-133.4366121,,,
3.62,113,-90.8764658,,,
3.624,113,-44.51778297,,,
3.628,113,-96.60361532,,,
